epoch,loss,lr,mean_absolute_error,val_loss,val_mean_absolute_error
0,0.0007998699438758194,0.0009944713,0.01848258636891842,0.00015893146337475628,0.008711235597729683
1,0.00024448413751088083,0.0009780085,0.011418549343943596,0.00010966822446789593,0.007229899987578392
2,0.00019583145331125706,0.0009509796,0.0101699810475111,9.548457455821335e-05,0.006792490836232901
3,0.00017240017768926919,0.0009139882,0.009522669948637486,8.806301048025489e-05,0.0064102960750460625
4,0.0001549773442093283,0.0008678607,0.008999085053801537,7.23827542969957e-05,0.005711700301617384
5,0.00014113519864622504,0.00081362744,0.008561376482248306,7.137277134461328e-05,0.005709197372198105
6,0.00012993325071875006,0.0007525,0.008190039545297623,6.852580554550514e-05,0.0056475745514035225
7,0.00012198829062981531,0.0006858438,0.007911904715001583,5.95195269852411e-05,0.005143438465893269
8,0.00011528115282999352,0.0006151479,0.007671972271054983,5.5643391533521935e-05,0.004961458966135979
9,0.00011128527694381773,0.0005419914,0.0075148362666368484,5.8008481573779136e-05,0.005036729387938976
10,0.00010707537876442075,0.0004680086,0.007368908263742924,5.098245674162172e-05,0.004634927026927471
11,0.00010389798990217969,0.00039485213,0.007258194498717785,4.9948226660490036e-05,0.004625478759407997
12,0.00010140416998183355,0.0003241562,0.007174932863563299,4.831416663364507e-05,0.004553128965198994
13,9.94819201878272e-05,0.0002575,0.0071060205809772015,4.6127614041324705e-05,0.0044138869270682335
14,9.78642055997625e-05,0.00019637255,0.0070509109646081924,4.655438897316344e-05,0.004463434685021639
15,9.651469008531421e-05,0.00014213932,0.007006141357123852,4.508673009695485e-05,0.004379101097583771
16,9.548290108796209e-05,9.6011805e-05,0.006968796253204346,4.357400757726282e-05,0.004266855772584677
17,9.477540879743174e-05,5.902041e-05,0.006940546445548534,4.3775893573183566e-05,0.0042828163132071495
18,9.41583130043e-05,3.199146e-05,0.0069194212555885315,4.302406887290999e-05,0.004227889701724052
19,9.39103338168934e-05,1.5528742e-05,0.006911901291459799,4.3534946598811075e-05,0.004277190659195185
20,0.00010976233170367777,0.0009944713,0.007477343548089266,5.635186971630901e-05,0.005100295413285494
21,0.00010699672566261142,0.0009780085,0.007367386482656002,5.7090808695647866e-05,0.004870587028563023
22,0.00010468144319020212,0.0009509796,0.007292317692190409,5.6245175073854625e-05,0.005049091298133135
23,0.000102101250377018,0.0009139882,0.007209650706499815,4.7473971790168434e-05,0.004594158381223679
